$ tracert georgebrown.ca

Tracing route to georgebrown.ca [99.79.139.11]
over a maximum of 30 hops:

  1     4 ms     4 ms     3 ms  CODA4582 [192.168.0.1]
  2    78 ms    22 ms    13 ms  99.252.110.1
  3    15 ms    14 ms    12 ms  69.63.242.85
  4    13 ms    19 ms    14 ms  69.63.250.93
  5    23 ms    19 ms    15 ms  209.148.235.222
  6     *        *        *     Request timed out.
  7    18 ms    19 ms    15 ms  52.93.3.90
  8    33 ms    18 ms    15 ms  52.93.3.95
  9     *        *        *     Request timed out.
 10    32 ms    21 ms    28 ms  52.94.82.128
 11    27 ms    26 ms    23 ms  52.94.83.151
 12    32 ms    27 ms    26 ms  52.94.83.198
 13    30 ms    27 ms    25 ms  52.94.82.251
 14    30 ms    25 ms    23 ms  52.94.81.44
 15     *        *        *     Request timed out.
 16     *        *        *     Request timed out.
 17     *        *        *     Request timed out.
 18     *        *        *     Request timed out.
 19     *        *        *     Request timed out.
 20     *        *        *     Request timed out.
 21    26 ms    23 ms   179 ms  ec2-99-79-139-11.ca-central-1.compute.amazonaws.
com [99.79.139.11]

Trace complete.
